User_ID,UTC_Time,Account,Operation,Coin,Change,Remark,Symbol,Qty,Type,Open date,Adj cost per share,Adj cost,
,,,,,,,BTC,2.15154,Buy,2024/12/31,92792.06,199645.86,
360673752,2025/1/2 16:46,Spot,Deposit,USDT,53654.4299,,USDT,53654.4299,Buy,2025/1/2,1,53654.4299,
360673752,2025/1/3 6:42,Spot,Transaction Spend,USDT,-9138.150945,,BTC,0.55465,Buy,2025/1/3,80224.48319,44496.5096,
360673752,2025/1/3 6:42,Spot,Transaction Spend,USDT,-26991.87379,,,,,2025/1/3,,,
360673752,2025/1/3 6:42,Spot,Transaction Buy,BTC,0.09109,,,,,2025/1/3,,,
360673752,2025/1/3 6:42,Spot,Transaction Spend,USDT,-8808.403911,,,,,2025/1/3,,,
360673752,2025/1/3 6:42,Spot,Transaction Fee,BTC,-0.0000945,,,,,2025/1/3,,,
360673752,2025/1/3 6:42,Spot,Transaction Buy,BTC,0.0945,,,,,2025/1/3,,,
360673752,2025/1/3 6:42,Spot,Transaction Buy,BTC,0.27913,,,,,2025/1/3,,,
360673752,2025/1/3 6:42,Spot,Transaction Fee,BTC,-0.00009109,,,,,2025/1/3,,,
360673752,2025/1/3 6:42,Spot,Transaction Buy,BTC,0.08993,,,,,2025/1/3,,,
360673752,2025/1/3 6:42,Spot,Transaction Fee,BTC,-0.00027913,,,,,2025/1/3,,,
360673752,2025/1/3 6:42,Spot,Transaction Spend,USDT,-8696.231899,,,,,2025/1/3,,,
360673752,2025/1/3 6:42,Spot,Transaction Fee,BTC,-0.00008993,,,,,2025/1/3,,,
360673752,2025/1/3 9:00,Funding,P2P Trading,USDT,6887.05,P2P - 22708420214230765568,,,,2025/1/3,,,
360673752,2025/1/3 9:01,Funding,Transfer Between Main and Funding Wallet,USDT,-6887.05,,,,,2025/1/3,,,
360673752,2025/1/3 9:01,Spot,Transfer Between Main and Funding Wallet,USDT,6887.05,,,,,2025/1/3,,,
360673752,2025/1/3 9:01,Spot,Transaction Buy,BTC,0.07181,,,,,2025/1/3,,,
360673752,2025/1/3 9:01,Spot,Transaction Spend,USDT,-6906.058181,,,,,2025/1/3,,,
