,0
Total Return,-0.24217505390445193
CAGR,-0.046027961639202086
Sharpe Ratio,-0.20378691843169616
Sortino Ratio,-0.287762868880054
Max Drawdown,-0.5198918116491955
Volatility (Ann.),0.21503833290266683
Win Rate,0.4979757085020243
Best Day,0.04476570136256844
Worst Day,-0.042877154040445044
Avg Win,0.010706059141225984
Avg Loss,-0.010809703178303551
Profit Factor,0.982424751117896
