Date,Daily Return,Cumulative Return
2020-04-29,0.0,0.0
2020-04-30,0.006773223915153892,0.006773223915153892
2020-05-01,0.003778314525337853,0.010577129810793728
2020-05-04,0.021580085802385046,0.03238547098203881
2020-05-05,0.0019324708654619022,0.034380525826637864
2020-05-06,-0.016733735760605217,0.017071475431539085
2020-05-07,0.004315891569844807,0.02146104563828377
2020-05-08,-0.012135885921926657,0.009064710914725715
2020-05-11,0.01999341224152207,0.029239357658416232
2020-05-12,0.04476570136256844,0.07531397937395456
2020-05-13,0.008931579520031725,0.08491823168973478
2020-05-14,0.0036540982953216193,0.08888262955071569
2020-05-15,0.01613569287800221,0.10645250524133765
2020-05-18,0.013441458625710122,0.12132484081185235
2020-05-19,-0.008497080999921558,0.11179685281224994
2020-05-20,-0.0008802405880949677,0.1108182040966883
2020-05-21,0.002697592931045647,0.11381473943173614
2020-05-22,-0.016105600168906765,0.09587608457621366
2020-05-25,0.015459896305709667,0.1128182152076691
2020-05-26,-0.00711924116778942,0.10489579395769666
2020-05-27,-0.0011710789470887257,0.10360187375466601
2020-05-28,-0.008918771457760651,0.09375910086229178
2020-05-29,-0.002097996678438711,0.09146439790167071
2020-06-01,-0.014258527172987822,0.07590172312584098
2020-06-02,0.00083886042220603,0.07680425449955464
2020-06-03,-0.016307192485777628,0.05924460025192624
2020-06-04,-0.002817853751801767,0.05625980388103069
2020-06-05,-0.021339108154922286,0.03372016168631653
2020-06-08,0.00439059953531547,0.03825881294786271
2020-06-09,-0.014596261885234708,0.02310411540942292
2020-06-10,-0.021518500154559243,0.0010884493438549914
2020-06-11,0.003995470452631368,0.005088268663678841
2020-06-12,0.005808138513015173,0.010925960545884017
2020-06-15,-0.000921307860097401,0.00999458651245666
2020-06-16,0.007476474118660709,0.017545784898504557
2020-06-17,0.0002151748051501686,0.017764735114501606
2020-06-18,0.008157814249094494,0.026067470772844548
2020-06-19,0.009265386680165928,0.03557438264949475
2020-06-22,-0.015869723511133048,0.019140103521634977
2020-06-23,-0.026604627205877706,-0.007973739003117819
2020-06-24,-0.0030870323896717345,-0.011036156202220204
2020-06-25,-0.010037788113002214,-0.02096316571768264
2020-06-26,0.006324811672962796,-0.014770942119953223
2020-06-29,-0.012404067404461932,-0.026991789762731866
2020-06-30,-0.023815073012277185,-0.050164051331077486
2020-07-01,0.015155291004426268,-0.03576901112253461
2020-07-02,0.0072000922723253116,-0.028826459030781515
2020-07-03,0.0024319076749877294,-0.026464654642753493
2020-07-06,0.002962902282519849,-0.023580164545880633
2020-07-07,-0.005388297095838595,-0.02884140470957719
2020-07-08,-0.0034985807349237983,-0.032239081461615915
2020-07-09,-0.017427608290912,-0.04910483966915602
2020-07-10,-0.012337623624519855,-0.06083662626369546
2020-07-13,0.014006497671841386,-0.04768223665597915
2020-07-14,0.00018367261807143253,-0.04750732195914975
2020-07-15,-0.003256118602744473,-0.05060875108709639
2020-07-16,-0.012674858551338944,-0.06264215087694647
2020-07-17,-0.01600071114197714,-0.0776405430574294
2020-07-20,-0.015212434839430133,-0.09167187619470041
2020-07-21,-0.015715459766379686,-0.1059466702790337
2020-07-22,0.028359311043121945,-0.08059193381233798
2020-07-23,0.003401027835757157,-0.077465001386814
