Date Snapshot,Rolling Sharpe Ratio
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-11,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,
2020-08-10,
2020-08-11,
2020-08-12,
2020-08-13,
2020-08-14,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,
2020-08-24,
2020-08-25,
2020-08-26,
2020-08-27,
2020-08-28,
2020-08-31,
2020-09-01,
2020-09-02,
2020-09-03,
2020-09-04,
2020-09-07,
2020-09-08,
2020-09-09,
2020-09-10,
2020-09-11,
2020-09-14,
2020-09-15,
2020-09-16,
2020-09-17,
2020-09-18,
2020-09-21,
2020-09-22,
2020-09-23,
2020-09-24,
2020-09-25,
2020-09-28,
2020-09-29,
2020-09-30,
2020-10-01,
2020-10-02,
2020-10-05,
2020-10-06,
2020-10-07,
2020-10-08,
2020-10-09,
2020-10-12,
2020-10-13,
2020-10-14,
2020-10-15,
2020-10-16,
2020-10-19,
2020-10-20,
2020-10-21,-1.1844851342463607
2020-10-22,-1.473180312417633
2020-10-23,-1.6718351630814907
2020-10-26,-1.7522332281755248
2020-10-27,-2.181410927652233
2020-10-28,-2.1297191244004745
2020-10-29,-2.1219651971833837
2020-10-30,-2.2438159233609296
2020-11-02,-2.208363596207759
2020-11-03,-2.592805767352298
2020-11-04,-3.3143651507842935
2020-11-05,-3.407167547270761
2020-11-06,-3.60409519247432
2020-11-09,-3.9943422754525604
2020-11-10,-4.087006000414078
2020-11-11,-3.794354302361795
2020-11-12,-3.7843717159996464
2020-11-13,-3.9340218180932838
2020-11-16,-3.924236736472355
2020-11-17,-4.0996840379767985
2020-11-18,-3.929563277472196
2020-11-19,-3.881065315999761
2020-11-20,-3.9472652909465933
2020-11-23,-3.8274938138581795
2020-11-24,-3.8016868107008257
2020-11-25,-3.758026934588899
2020-11-26,-3.561236695982023
2020-11-27,-3.5524866171915432
2020-11-30,-3.3311116453176774
2020-12-01,-3.136844412913289
2020-12-02,-3.0432636639328474
2020-12-03,-2.8689128043703946
2020-12-04,-2.7465026010789764
2020-12-07,-2.7701499852064644
2020-12-08,-2.816024164961093
2020-12-09,-2.929683790253141
2020-12-10,-2.5191768051940544
